BAPPU VADAKKAYIL,45-TIRUR,60
ABID HUSSAIN THANGAL,46-KOTTAKKAL,71768
N.A. MUHAMMED KUTTY (MAMMOOTY),46-KOTTAKKAL,56726
V. UNNIKRISHNAN MASTER,46-KOTTAKKAL,13205
NEYYATHOOR KUNHIMOHAMED,46-KOTTAKKAL,2763
K.P.O. RAHMATHULLA,46-KOTTAKKAL,1719
C. MUHAMMED KUTTY,46-KOTTAKKAL,579
VILLAN MOHAMMED KUTTY,46-KOTTAKKAL,429
BINDU DEVARAJAN,46-KOTTAKKAL,223
SAINUL ABID THANGAL,46-KOTTAKKAL,150
BEERAN. K,46-KOTTAKKAL,105
K.T. JALEEL,47-THAVANUR,68179
IFTHIQUARUDHEEN MASTER,47-THAVANUR,51115
RAVI THELATH,47-THAVANUR,15801
P.K. JALEEL PARAKKUZHIYIL,47-THAVANUR,2649
ALI KADAMPUZHA,47-THAVANUR,1077
MUHAMMED PONNANI,47-THAVANUR,1007
IFTHIKARUDHEEN. P.P,47-THAVANUR,601
APPUNNI. O.V,47-THAVANUR,443
K.T. JALEEL KANHIRATHODIKA,47-THAVANUR,272
K.A. JALEEL KOTTILIL,47-THAVANUR,251
SONIA PINTO,47-THAVANUR,133
K.T. JALEEL KUNNATHODI,47-THAVANUR,124
P. SREERAMAKRISHNAN,48-PONNANI,69332
P.T. AJAI MOHAN,48-PONNANI,53692
K.K. SURENDRAN,48-PONNANI,11662
M.M. SHAKKIR,48-PONNANI,2048
M. MOIDUNNI HAJI,48-PONNANI,1857
ABDUL FATHAH,48-PONNANI,1659
SINDHUKUMARI P S,48-PONNANI,386
AJAY MOHAN,48-PONNANI,240
RAMAKRISHNAN PUDUSSERY,48-PONNANI,140
RAMAKRISHNAN NJAVANENGHAT,48-PONNANI,82
KOYILAN RAMAKRISHNAN,48-PONNANI,61
V.T. BALRAM,49-THRITHALA,66505
SUBAIDA ISHAC,49-THRITHALA,55958
V.T. REMA,49-THRITHALA,14510
C.P. MOHAMMEDALI,49-THRITHALA,1313
SUBAIDA,49-THRITHALA,1080
MOIDEEN KUTTY POOKKATH,49-THRITHALA,541
VINOD PERUMANNOOR,49-THRITHALA,366
BALARAM,49-THRITHALA,199
MUHAMMED MUHASSIN,50-PATTAMBI,64025
C P MOHAMMED,50-PATTAMBI,56621
P.  MANOJ,50-PATTAMBI,14824
ABDUL RAOOF C,50-PATTAMBI,1848
M A MOIDEENKUTTY MASTER,50-PATTAMBI,815
MUHSIN,50-PATTAMBI,525
ABOOBACKER P,50-PATTAMBI,422
MUHASIN PACHEERI,50-PATTAMBI,315
MUHAMMED CHERUVASSERI PALLIYALIL,50-PATTAMBI,126
MOHAMED MUHSIN PALOLI,50-PATTAMBI,101
NOBY AUGUSTINE,50-PATTAMBI,62
P.K. SASI,51-SHORNUR,66165
C. SANGEETHA,51-SHORNUR,41618
V.P. CHANDRAN,51-SHORNUR,28836
M SAIDALAVI,51-SHORNUR,1246
HARIS MUHAMMAD,51-SHORNUR,882
ANANDAN K K,51-SHORNUR,764
A. RADHAKRISHNAN,51-SHORNUR,697
P.K. ANUMON,51-SHORNUR,407
MOIDEENSHA MOLOOR,51-SHORNUR,247
P. UNNI,52-OTTAPALAM,67161
SHANIMOL OSMAN,52-OTTAPALAM,51073
P. VENUGOPALAN,52-OTTAPALAM,27605
A.A. SULFIKAR,52-OTTAPALAM,1166
K T PADMINI,52-OTTAPALAM,811
S.R. PRAKASH,52-OTTAPALAM,805
M.S. SUNEESH,52-OTTAPALAM,399
SURESH VELAYUDHAN,52-OTTAPALAM,179
K.V. VIJAYADAS,53-KONGAD,60790
PANDALAM SUDHAKARAN,53-KONGAD,47519
RENU SURESH,53-KONGAD,23800
RAMESH P V KANNAMPARIYARAM,53-KONGAD,789
N. SAMSUDHEEN,54-MANNARKAD,73163
